G1_amplitude,G1_sigma,G2_amplitude,G2_sigma,G3_amplitude,G3_sigma,Baysian Information Criterion,Total dip depth,Intercept,Total dip area (AOC combined model),sample,region-set,Bayesian Information Criterion,is control,Dip area: z-score vs controls in same region set,Dip area: Prediction interval of controls,Dip area: interpretation vs controls in same region set,Dip depth: z-score vs controls in same region set,Dip depth: Prediction interval of controls,Dip depth: interpretation vs controls in same region set
-7.015551040607668,149.00000000000074,17.550444483721222,757.9966353686476,-19.36844000028169,6078.999999990839,,0.010817972505032171,5.27297526572344e-05,-9.754118289633,PV08-BL.sortByCoord,mammary_epithel_cluster2438_hg38,-785.2684872597131,no,-0.05,"(-172.21678150366068, 158.56946515003577)",n.s.,-2.54,"(0.0045725096327799, 0.07562286046136754)",n.s.
-1.0743468881151719,149.99999999999824,-52.2204949973851,757.9999999952137,-37.07650053771026,6078.04369012559,,0.03277504785044658,0.0005419597161857293,-90.98049330781237,OMD009-BL.sortByCoord,mammary_cluster2139_hg38,-722.6490105915548,no,-0.17,"(-282.6584995059414, 122.80710706872624)",n.s.,1.35,"(-0.03841500182443668, 0.06053841008316255)",n.s.
-6.7753658879076815,149.00000000000009,-4.653561139241488,757.0000000024547,32.14857225840133,6078.99999991181,,0.0184834607502879,-0.0010698299222781935,19.57571821539989,OMD009-BL.sortByCoord,mammary_cluster2239_hg38,-848.8027903545865,no,-0.92,"(-25.031036956485266, 118.95856122353376)",n.s.,-1.03,"(0.003589316357633595, 0.05539997409431477)",n.s.
-15.777617455095037,149.99999999793152,-89.997481861421,757.9999999517366,-323.92474391762863,6078.000000732663,,0.11059036838944973,0.008276729473010853,-432.64414666329867,OMD009-BL.sortByCoord,mammary_hepato_cluster959_hg38,-724.8596835845696,no,-6.9,"(-213.50816338196972, 140.60735125881695)",Significantly stronger coverage drop,2.47,"(-0.033402027437089185, 0.1264150994268023)",n.s.
-6.737821775104206,149.66062357802838,-39.657241013458254,757.9999999992367,-33.458024727286976,6078.00347234548,,0.04102870368351959,0.001292959746357396,-81.23889971774796,OMD009-BL.sortByCoord,mammary_cluster2290_hg38,-827.0024327085854,no,-4.82,"(-45.70208459455415, 80.17115354374201)",Significantly stronger coverage drop,0.2,"(0.016165086370466437, 0.06285893150311722)",n.s.
-22.758536042180186,149.00000000015376,-80.96185239302555,757.9999999998269,-190.49034252476784,6078.999998457093,,0.11604732296513284,0.006287339248022338,-298.32652406427536,OMD009-BL.sortByCoord,mammary_epithel_cluster2438_hg38,-766.9602593501843,no,-5.43,"(-172.21678150366068, 158.56946515003577)",Significantly stronger coverage drop,6.59,"(0.0045725096327799, 0.07562286046136754)",Significantly stronger coverage drop
0.2846487478330797,149.9994620097546,-0.32965305457022753,757.9999872390333,8.975386328160383,6078.997879354243,,-0.0011725811174705474,-0.0010174873691331358,8.962074212209773,OMD004-d2.sortByCoord,mammary_cluster2139_hg38,-707.5178977178168,no,1.35,"(-282.6584995059414, 122.80710706872624)",n.s.,-0.76,"(-0.03841500182443668, 0.06053841008316255)",n.s.
-8.143649178364088,149.99999999994395,2.9086875500105487,757.9999999994693,55.24465200205765,6078.997177812139,,0.016502601497514473,-0.0017014305274741595,48.700645120624934,OMD004-d2.sortByCoord,mammary_cluster2239_hg38,-900.045337966903,no,0.06,"(-25.031036956485266, 118.95856122353376)",n.s.,-1.21,"(0.003589316357633595, 0.05539997409431477)",n.s.
-6.297639599749028,149.99999999989691,11.583559097697368,757.999999975821,13.673708764516082,6078.281743490281,,0.009755305243975365,-0.002182076286210988,18.065157502501183,OMD004-d2.sortByCoord,mammary_hepato_cluster959_hg38,-762.2625160077596,no,0.95,"(-213.50816338196972, 140.60735125881695)",n.s.,-1.42,"(-0.033402027437089185, 0.1264150994268023)",n.s.
1.2016485206695138,149.00000000016774,-5.572819156133588,757.9999999999764,4.121415494783335,6078.898909420291,,-0.0005548242893675838,-8.610898010984608e-05,-0.11662088117592805,OMD004-d2.sortByCoord,mammary_cluster2290_hg38,-857.7749059323437,no,-0.85,"(-45.70208459455415, 80.17115354374201)",n.s.,-5.29,"(0.016165086370466437, 0.06285893150311722)",Significantly weaker coverage drop
0.9251522493687564,149.00000000000242,-10.330721142116102,757.0000000057611,-26.21231539403375,6078.822719496041,,0.0046875397538828295,0.001137036210317865,-35.53908891970692,OMD004-d2.sortByCoord,mammary_epithel_cluster2438_hg38,-772.0097477790449,no,-0.53,"(-172.21678150366068, 158.56946515003577)",n.s.,-3.07,"(0.0045725096327799, 0.07562286046136754)",n.s.
-0.71427203205376,149.00000000000955,-0.9189751457009548,757.9999999990587,25.951235681496854,6078.987682722785,,0.0006930162985328593,-0.002214771735893532,24.16867490087479,OMD1_PreRT.sortByCoord,mammary_cluster2139_hg38,-725.2721053266155,no,1.58,"(-282.6584995059414, 122.80710706872624)",n.s.,-0.65,"(-0.03841500182443668, 0.06053841008316255)",n.s.
-11.547909269290244,149.00000000000813,8.738777261505557,757.0000000009628,66.21864451288697,6078.970570015802,,0.02196804443038888,-0.0022762019565403407,61.601333478955205,OMD1_PreRT.sortByCoord,mammary_cluster2239_hg38,-871.7304297484014,no,0.49,"(-25.031036956485266, 118.95856122353376)",n.s.,-0.7,"(0.003589316357633595, 0.05539997409431477)",n.s.
-7.302204167133339,149.99999999999045,60.29153271838038,757.9999999872227,-123.84501004458949,6078.979387503444,,-0.004183410532565924,0.0006445662442402489,-71.30810998085005,OMD1_PreRT.sortByCoord,mammary_hepato_cluster959_hg38,-725.7941021561043,no,-0.61,"(-213.50816338196972, 140.60735125881695)",n.s.,-1.95,"(-0.033402027437089185, 0.1264150994268023)",n.s.
